subj,fname,outl,seg,note,,traj,repetitions,tGONS,tPVEL,tNONS,tMAXC,tNOFFS,tPVEL2,tGOFFS,xGONS,xPVEL,xNONS,xMAXC,xNOFFS,xPVEL2,xGOFFS,yGONS,yPVEL,yNONS,yMAXC,yNOFFS,yPVEL2,yGOFFS,zGONS,zPVEL,zNONS,zMAXC,zNOFFS,zPVEL2,zGOFFS,vGONS,vPVEL,vNONS,vMAXC,vNOFFS,vPVEL2,vGOFFS
CTRL 01,PD_PA_DDK1_B01_R01_0138_01,,P,,dat,LL_XZ,,4160,4200,4247.5,4260,4272.5,4320,4365,9.4,10.9,13.2,13.5,13.6,11.6,9.5,X,X,X,X,X,X,X,-16.5,-10.6,-3.9,-3.6,-4.1,-10.4,-16.4,5.548,20.471,5.749,1.889,5.966,18.47,5.266
CTRL 01,PD_PA_DDK1_B01_R01_0138_01,,P,,,LL_XZ,,4382.5,4425,4472.5,4482.5,4492.5,4540,4582.5,9.4,10.8,12.9,13,13,11.2,9.5,X,X,X,X,X,X,X,-16.4,-10.5,-4.4,-4.2,-4.4,-9.8,-14.9,5.195,19.088,4.516,0.527,4.139,16.647,4.768
CTRL 01,PD_PA_DDK1_B01_R01_0138_01,,P,,,LL_XZ,,4600,4640,4682.5,4695,4710,4762.5,4802.5,9.3,10.2,11.8,12.1,12.2,10,8.4,X,X,X,X,X,X,X,-14.9,-10.3,-5.4,-5.1,-5.5,-11.6,-16.3,4.193,16.267,5.075,1.438,4.999,16.377,4.61
CTRL 01,PD_PA_DDK1_B01_R01_0138_01,,P,,,LL_XZ,,4820,4862.5,4907.5,4920,4930,4982.5,5025,8.5,10.1,12.4,12.6,12.6,10.4,8.8,X,X,X,X,X,X,X,-16.2,-10.7,-4.9,-4.7,-4.9,-10.6,-15.6,5.011,18.616,5.297,0.864,4.131,16.089,4.36
CTRL 01,PD_PA_DDK1_B01_R01_0138_01,,P,,,LL_XZ,,5042.5,5082.5,5130,5142.5,5155,5207.5,5252.5,8.8,10.4,12.7,12.9,12.9,11.2,9.7,X,X,X,X,X,X,X,-15.6,-10.6,-4.8,-4.6,-4.8,-9.7,-14.1,4.978,17.628,5.117,0.879,3.884,12.964,4.069
CTRL 01,PD_PA_DDK1_B01_R01_0138_01,,P,,,LL_XZ,,5270,5307.5,5357.5,5370,5382.5,5440,5482.5,9.6,9.8,10.6,10.6,10.5,8.8,7.8,X,X,X,X,X,X,X,-14,-10.2,-5.3,-5.1,-5.3,-12.2,-17.8,4.076,13.86,3.333,0.294,3.96,17.483,4.904
CTRL 01,PD_PA_DDK1_B01_R01_0138_01,,P,,,LL_XZ,,5500,5540,5587.5,5600,5610,5657.5,5697.5,8,9.4,11.1,11.3,11.3,10.2,9.1,X,X,X,X,X,X,X,-17.8,-12.1,-5.6,-5.3,-5.5,-10.9,-15.7,5.637,19.465,5.453,1.153,4.232,16.009,4.652
CTRL 01,PD_PA_DDK1_B01_R01_0138_01,,P,,,LL_XZ,,5715,5757.5,5802.5,5815,5825,5875,5915,9.1,10.5,12.8,13,13,11.3,9.7,X,X,X,X,X,X,X,-15.7,-10.1,-4.1,-3.8,-4,-9.3,-13.9,4.339,19.236,5.582,0.875,3.932,15.746,4.859
CTRL 01,PD_PA_DDK1_B01_R01_0138_01,,P,,,LL_XZ,,5932.5,5972.5,6022.5,6035,6047.5,6102.5,6145,9.5,10.7,13,13.2,13.2,11.2,9.6,X,X,X,X,X,X,X,-13.9,-9.3,-4,-3.9,-4.2,-10.4,-15.5,4.229,16.048,4.119,0.882,4.19,16.392,4.98
CTRL 01,PD_PA_DDK1_B01_R01_0138_01,,P,,,LL_XZ,,6162.5,6202.5,6255,6267.5,6280,6337.5,6380,9.4,10.3,12.3,12.5,12.5,10.4,8.8,X,X,X,X,X,X,X,-15.5,-10.5,-4.5,-4.3,-4.5,-10.3,-14.9,4.524,17.162,4.319,0.915,3.733,14.737,4.571
CTRL 01,PD_PA_DDK1_B01_R02_0139_01,,P,,dat,LL_XZ,,5525,5565,5610,5622.5,5637.5,5687.5,5735,9.7,11.3,13.8,14.1,14.1,12.1,10.1,X,X,X,X,X,X,X,-16.8,-11.7,-6.3,-6,-6.5,-12.7,-18.7,4.706,18.089,5.268,1.385,5.411,17.644,4.513
CTRL 01,PD_PA_DDK1_B01_R02_0139_01,,P,,,LL_XZ,,5752.5,5795,5842.5,5855,5865,5912.5,5955,10,11.4,13.7,13.8,13.7,11.7,9.9,X,X,X,X,X,X,X,-18.6,-12.7,-6.7,-6.4,-6.6,-12.7,-18.7,5.11,19.087,4.819,0.36,4.498,19.268,5.471
CTRL 01,PD_PA_DDK1_B01_R02_0139_01,,P,,,LL_XZ,,5972.5,6012.5,6060,6072.5,6082.5,6127.5,6172.5,9.8,11.1,13.5,13.8,13.8,12.4,10.6,X,X,X,X,X,X,X,-18.7,-13.7,-7.7,-7.5,-7.7,-11.9,-16,4.257,18.187,5.44,1.43,3.823,13.16,3.835
CTRL 01,PD_PA_DDK1_B01_R02_0139_01,,P,,,LL_XZ,,6190,6232.5,6287.5,6302.5,6317.5,6377.5,6425,10.5,11.5,14,14.1,14,11.3,9.5,X,X,X,X,X,X,X,-16,-11.5,-6.4,-6.2,-6.5,-13.7,-20,3.557,14.96,3.335,0.241,4.028,18.561,4.545
CTRL 01,PD_PA_DDK1_B01_R02_0139_01,,P,,,LL_XZ,,6442.5,6482.5,6537.5,6550,6562.5,6615,6660,9.5,10.6,13.2,13.4,13.3,11.2,9.5,X,X,X,X,X,X,X,-19.9,-14.3,-7.2,-7,-7.2,-12.4,-17.2,5.419,19.423,4.358,0.165,3.681,14.902,4.235
CTRL 01,PD_PA_DDK1_B01_R02_0139_01,,P,,,LL_XZ,,6677.5,6717.5,6767.5,6782.5,6795,6842.5,6882.5,9.4,10.6,13.1,13.3,13.2,11.7,10.1,X,X,X,X,X,X,X,-17.2,-12.6,-7.3,-7.1,-7.3,-12.3,-16.7,3.943,16.588,4.218,0.513,4.041,15.429,4.569
CTRL 01,PD_PA_DDK1_B01_R02_0139_01,,P,,,LL_XZ,,6900,6940,6985,6995,7007.5,7052.5,7097.5,9.9,10.9,13.2,13.4,13.4,11.7,10,X,X,X,X,X,X,X,-16.7,-12.3,-7.7,-7.6,-7.9,-13,-18.1,4.074,15.614,4.368,1.123,4.892,16.069,4.172
CTRL 01,PD_PA_DDK1_B01_R02_0139_01,,P,,,LL_XZ,,7115,7155,7205,7217.5,7230,7280,7320,9.9,11.1,13.5,13.6,13.5,11.5,9.8,X,X,X,X,X,X,X,-18.1,-12.9,-7.2,-7,-7.2,-12.4,-16.9,4.91,17.844,4.137,0.078,3.888,15.888,4.71
CTRL 01,PD_PA_DDK1_B01_R02_0139_01,,P,,,LL_XZ,,7337.5,7375,7425,7440,7452.5,7507.5,7557.5,9.7,10.7,12.9,13.1,13.1,11.2,9.7,X,X,X,X,X,X,X,-16.9,-12.6,-7.4,-7.2,-7.5,-12.9,-18.2,4.384,15.825,4.192,0.704,3.91,14.249,3.935
CTRL 01,PD_PA_DDK1_B01_R02_0139_01,,P,,,LL_XZ,,7575,7615,7665,7677.5,7690,7740,7782.5,9.7,10.6,12.6,12.7,12.6,10.9,9.5,X,X,X,X,X,X,X,-18.1,-13.4,-7.9,-7.7,-8,-13.8,-19.2,4.21,16.658,3.811,0.377,4.462,17.095,4.976
CTRL 01,PD_PA_DDK2_B01_R01_0146_01,,P,,dat,LL_XZ,,4680,4722.5,4777.5,4790,4802.5,4857.5,4915,9.6,10.7,13,13.1,13.1,11,8.7,X,X,X,X,X,X,X,-17.5,-12.7,-7.1,-6.9,-7.1,-11.5,-16.5,3.863,15.776,3.812,0.446,2.935,12.303,3.151
CTRL 01,PD_PA_DDK2_B01_R01_0146_01,,P,,,LL_XZ,,4932.5,4972.5,5035,5052.5,5070,5137.5,5187.5,8.7,10.2,13,13.1,13,10.3,9,X,X,X,X,X,X,X,-16.4,-12.6,-7.6,-7.4,-7.6,-12.5,-17.1,3.873,13.642,2.901,0.052,2.719,12.068,3.56
CTRL 01,PD_PA_DDK2_B01_R01_0146_01,,P,,,LL_XZ,,5205,5245,5300,5315,5325,5375,5425,9.2,10.4,12,12,12,10.4,8.8,X,X,X,X,X,X,X,-17.1,-12.8,-7.3,-7,-7.1,-11.4,-15.9,4.152,15.161,3.553,0.389,3.064,12.724,3.069
CTRL 01,PD_PA_DDK2_B01_R01_0146_01,,P,,,LL_XZ,,5442.5,5485,5542.5,5560,5577.5,5637.5,5685,8.9,10.2,12.5,12.6,12.4,10.4,8.8,X,X,X,X,X,X,X,-15.8,-12,-7.5,-7.2,-7.4,-12.3,-16.8,3.625,12.763,3.025,0.402,3.016,13.02,3.664
CTRL 01,PD_PA_DDK2_B01_R01_0146_01,,P,,,LL_XZ,,5702.5,5745,5792.5,5807.5,5820,5875,5920,8.9,10,11.8,12,12,10.5,9.1,X,X,X,X,X,X,X,-16.8,-12.2,-7.5,-7.3,-7.5,-12.3,-16.6,3.762,15.009,4.044,0.826,3.31,12.718,3.78
